,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
1141,28,Male,7.4,2.29,3.35,2.55,8.72,153,115,8.45,Medium,No,Mild,0
1142,32,Female,4.4,4.32,3.01,4.44,8.52,149,42,6.14,Low,No,Moderate,1
1143,27,Female,10.43,3.48,0.39,4.98,4.61,27,90,11.23,Low,Yes,Moderate,1
1144,32,Other,11.56,2.82,1.43,2.72,7.64,96,102,13.03,Low,No,Severe,1
1145,33,Female,8.72,3.76,2.72,5.87,6.75,109,22,9.86,Medium,No,Moderate,1
1146,29,Male,11.54,4.27,3.98,2.59,8.83,214,37,13.23,High,Yes,Moderate,1
1147,21,Male,7.09,4.62,0.97,5.91,4.65,99,156,9.53,Medium,Yes,Severe,1
1148,18,Female,9.15,3.76,2.7,0.66,6.78,37,143,10.1,Medium,No,Moderate,1
1149,21,Male,9.28,3.2,3.61,2.11,5.23,94,168,10.61,Low,Yes,Moderate,1
1150,33,Other,7.38,0.53,3.1,4.94,8.57,217,111,7.99,Low,Yes,Moderate,1
1151,33,Female,5.06,2.95,2.8,5.51,4.96,55,48,7.41,High,Yes,Mild,0
1152,29,Other,10.15,2.86,2.83,5.44,6.16,159,42,11.7,Low,No,Severe,1
1153,31,Male,3.6,0.98,3.51,4.16,6.64,149,77,6.37,Low,Yes,Not addicted,0
1154,20,Male,8.13,4.16,1.78,5.98,6.18,87,137,8.8,High,Yes,Severe,1
1155,35,Other,3.36,1.61,1.2,4.61,6.26,115,30,5.14,Low,Yes,Mild,0
1156,34,Male,3.08,5.34,0.55,5.56,8.37,225,69,4.05,Medium,No,Severe,1
1157,21,Other,4.55,3.54,2.51,5.22,4.82,190,47,7.19,Low,Yes,Mild,0
1158,20,Female,8.1,1.86,3.01,5.12,6.13,77,82,9.62,Medium,Yes,Severe,1
1159,18,Male,4.73,4.5,1.49,2.97,8.26,77,47,6.43,High,No,Moderate,1
1160,34,Female,5.59,4.75,1.73,0.67,4.8,41,52,8.02,Low,No,Severe,1
1161,26,Other,7.18,4.94,3.67,2.17,6.91,103,93,9.82,Medium,No,Severe,1
1162,35,Other,11.31,3.83,2.64,3.66,6.61,43,140,14.25,High,Yes,Severe,1
1163,26,Female,11.41,5.31,2.38,1.75,8.67,102,76,13.33,Medium,No,Moderate,1
1164,34,Other,9.08,2.03,2.39,4.18,5.35,176,50,11.59,High,No,Moderate,1
1165,29,Other,9.41,3.54,0.82,3.04,6.84,50,89,11.51,Low,No,Moderate,1
1166,33,Female,6.37,2.65,2.87,5.63,6.57,107,52,7.51,Low,No,Mild,0
1167,35,Female,11.85,0.52,0.76,5.64,8.68,136,155,13.81,Medium,No,Moderate,1
1168,19,Male,11.83,3.95,1.96,1.09,6.47,100,45,12.68,Low,No,Moderate,1
1169,20,Male,5.5,3.52,1.07,4.81,8.67,195,123,6.51,High,Yes,Not addicted,0
1170,28,Male,11.79,4.46,1.14,1.82,5.49,174,161,14.17,High,No,Moderate,1
1171,18,Female,7.98,2.24,0.88,4.93,8.21,72,153,10.02,Low,Yes,Moderate,1
1172,21,Female,3.86,5.15,0.88,3.03,5.25,64,71,5.06,Low,Yes,Severe,1
1173,30,Male,7.02,1.78,3.39,2.75,6.5,58,113,9.65,Medium,Yes,Moderate,1
1174,33,Other,6.93,5.31,1.37,0.61,6.78,119,128,8.95,Medium,Yes,Moderate,1
1175,30,Other,4.52,2.72,0.87,2.44,5.73,203,89,7.27,Medium,No,Not addicted,0
1176,25,Male,8.81,0.86,2.85,0.62,7.07,112,112,9.36,Medium,No,Severe,1
1177,31,Female,5.29,1.76,1.47,5.98,6.65,63,71,7.92,High,Yes,Not addicted,0
1178,29,Male,3.43,1.76,2.83,1.37,7.27,161,27,4.56,High,No,Mild,0
1179,27,Female,4.27,2.9,3.48,1.52,6.34,62,148,4.94,Low,Yes,Not addicted,0
1180,35,Other,7.23,2.83,0.67,0.59,8.83,174,34,7.9,Low,No,Mild,0
1181,21,Other,10.01,3.54,1.48,1.48,6.9,67,77,12.48,Medium,Yes,Severe,1
1182,18,Female,7.51,5.42,1.58,1.42,6.61,236,48,8.61,High,No,Severe,1
1183,25,Female,7.09,4.41,2.85,1.39,7.23,30,32,10.05,Low,Yes,Severe,1
1184,34,Female,10.19,4.23,1.58,3.48,6.32,154,134,13.1,High,No,Severe,1
1185,34,Female,11.43,1.42,3.43,1.19,4.66,38,168,14.42,Medium,Yes,Severe,1
1186,30,Female,5.7,0.63,1.95,4.63,5.47,218,178,8.08,Medium,Yes,Mild,0
1187,25,Female,4.28,5.45,3.61,1.89,6.3,202,134,5.71,Low,No,Moderate,1
1188,19,Other,5.21,1.3,2.56,1.06,6.18,109,134,7.98,High,No,Not addicted,0
1189,27,Male,6.19,3.32,1.91,5.64,8.41,142,32,7.57,Low,No,Mild,0
1190,21,Female,4.31,4.41,1.08,0.64,5.48,153,110,4.87,Medium,No,Severe,1
1191,28,Female,5.56,0.78,2.07,1.18,6.47,144,125,7.97,Low,Yes,Not addicted,0
1192,28,Male,8.95,2.92,2.89,1.97,5.14,70,38,10.99,Medium,No,Moderate,1
1193,19,Male,5.73,5.74,0.78,3.63,6.38,231,53,7.3,High,No,Moderate,1
1194,20,Other,4.47,0.71,2.91,4.83,5.49,62,141,5.26,High,No,Mild,0
1195,29,Other,10.66,5.76,1.03,3.57,8.5,228,99,12.74,Medium,Yes,Severe,1
1196,25,Male,5.04,0.62,1.93,2.3,6.79,147,118,5.67,High,No,Mild,0
1197,22,Other,8.0,5.14,0.88,5.76,6.59,59,40,10.24,High,No,Severe,1
1198,30,Female,6.77,2.32,0.32,1.39,6.67,189,31,9.21,Low,No,Moderate,1
1199,22,Female,6.73,5.88,1.34,2.54,5.89,144,140,9.55,Medium,Yes,Severe,1
1200,25,Other,5.58,3.86,0.66,1.38,5.97,116,36,6.33,Low,Yes,Not addicted,0
1201,31,Female,7.43,1.01,3.88,4.94,7.42,33,15,9.11,Low,Yes,Moderate,1
1202,29,Male,8.99,0.98,0.66,2.2,4.95,169,36,11.96,High,Yes,Moderate,1
1203,30,Male,10.42,3.2,1.07,2.1,8.27,38,171,11.63,Low,No,Severe,1
1204,34,Female,3.87,3.84,2.76,0.68,8.33,190,56,6.11,Medium,No,Mild,0
1205,30,Male,6.76,5.62,3.18,5.16,7.5,73,76,8.41,High,Yes,Moderate,1
1206,19,Other,8.29,1.15,0.43,2.97,5.17,38,87,10.72,High,No,Moderate,1
1207,33,Female,6.92,1.17,2.58,5.68,6.98,170,92,9.76,Low,No,Mild,0
1208,23,Female,6.52,2.4,0.2,5.13,8.12,119,62,9.05,Medium,No,Moderate,1
1209,22,Female,10.34,4.6,2.83,4.12,8.81,212,160,13.01,Low,Yes,Moderate,1
1210,31,Female,3.84,5.32,1.34,0.73,5.13,151,169,5.58,Medium,Yes,Moderate,1
1211,19,Male,9.94,3.97,2.85,4.9,6.18,20,41,11.65,High,Yes,Moderate,1
1212,28,Other,9.12,5.22,2.98,2.0,6.26,155,166,11.15,High,Yes,Severe,1
1213,19,Female,7.09,4.46,2.19,3.46,7.9,31,87,8.42,Medium,Yes,Severe,1
1214,32,Other,11.23,3.85,0.92,2.23,7.16,135,82,12.48,High,Yes,Moderate,1
1215,26,Other,6.55,0.52,0.92,1.72,8.2,81,116,7.06,Low,Yes,Moderate,1
1216,35,Other,11.46,0.59,3.47,4.53,7.95,221,93,13.88,High,Yes,Severe,1
1217,24,Other,7.81,3.54,3.12,5.2,8.67,119,158,10.12,Low,Yes,Mild,0
1218,31,Male,3.72,4.06,3.79,0.61,5.08,211,81,4.64,Medium,No,Severe,1
1219,31,Male,4.84,1.4,0.39,5.62,5.89,158,155,6.94,Low,Yes,Not addicted,0
1220,25,Female,3.59,4.74,3.03,1.99,5.31,215,130,4.93,High,No,Moderate,1
1221,26,Male,10.07,2.46,0.37,1.47,8.13,159,79,12.38,High,Yes,Moderate,1
1222,22,Male,6.08,3.37,2.76,1.57,8.96,213,176,7.46,Medium,No,Moderate,1
1223,34,Other,9.98,2.71,0.67,3.92,6.68,170,32,12.92,High,Yes,Severe,1
1224,32,Female,6.49,4.03,0.8,0.73,6.54,20,161,7.88,High,No,Severe,1
1225,18,Male,11.73,5.24,0.34,5.14,7.18,163,44,13.71,Medium,No,Severe,1
1226,19,Female,10.08,4.01,0.98,3.45,6.42,29,42,10.72,Medium,Yes,Severe,1
1227,22,Female,5.53,5.17,3.93,5.86,6.14,147,93,7.88,Medium,Yes,Moderate,1
1228,28,Male,4.66,1.01,0.55,3.39,7.2,45,107,5.44,Medium,No,Mild,0
1229,23,Male,8.19,3.7,0.32,0.77,5.9,214,155,10.58,Low,No,Severe,1
1230,30,Female,9.77,0.72,3.68,2.81,7.46,88,28,10.61,Low,Yes,Moderate,1
1231,19,Other,7.22,2.49,2.17,1.95,7.16,163,78,7.93,Low,Yes,Mild,0
1232,18,Other,7.23,4.51,0.51,4.56,8.2,194,145,8.33,Medium,Yes,Severe,1
1233,24,Other,7.43,1.81,1.72,3.87,6.25,231,150,8.66,Low,No,Moderate,1
1234,27,Other,5.42,3.89,3.56,4.39,5.65,174,142,5.92,Low,No,Not addicted,0
1235,26,Other,9.22,3.67,3.26,3.69,8.85,83,48,11.5,Low,Yes,Moderate,1
1236,20,Male,9.16,1.23,0.87,5.78,7.09,186,68,11.45,High,Yes,Severe,1
1237,28,Other,4.86,1.29,2.9,4.82,8.41,103,120,6.31,High,No,Mild,0
1238,24,Female,10.72,1.3,1.56,1.53,7.5,189,77,12.44,Medium,No,Moderate,1
1239,18,Female,6.9,1.37,3.13,5.09,7.87,154,89,7.91,Low,No,Mild,0
1240,26,Other,4.59,4.73,1.89,4.69,4.79,136,104,5.85,Low,No,Moderate,1
1241,26,Male,10.56,5.8,1.08,3.14,6.47,54,19,13.01,High,No,Severe,1
1242,35,Male,7.59,5.64,0.44,4.47,6.85,196,40,8.77,High,No,Severe,1
1243,20,Other,8.1,5.37,0.96,2.06,8.14,213,157,10.74,High,Yes,Severe,1
1244,18,Other,4.34,0.61,3.07,4.73,6.39,107,15,6.04,Low,Yes,Mild,0
1245,31,Other,5.26,4.93,2.34,3.96,7.51,174,159,7.17,Low,No,Severe,1
1246,24,Male,11.01,2.29,3.43,2.46,7.92,156,100,12.74,Medium,Yes,Moderate,1
1247,22,Male,5.08,5.27,0.82,2.77,8.98,38,41,7.28,High,No,Moderate,1
1248,24,Female,4.97,1.03,1.03,5.55,6.34,91,179,6.94,Medium,Yes,Not addicted,0
1249,25,Other,8.51,1.01,1.0,3.79,7.86,214,76,9.12,High,No,Moderate,1
1250,18,Female,11.34,3.19,3.97,4.88,8.49,45,37,13.1,Low,No,Moderate,1
1251,29,Male,11.41,4.64,2.23,1.4,7.83,180,161,11.96,Medium,Yes,Moderate,1
1252,25,Male,9.64,4.53,0.78,1.65,5.1,137,30,11.79,Low,Yes,Moderate,1
1253,24,Male,6.3,4.66,3.04,5.09,6.44,196,31,8.88,Low,No,Severe,1
1254,23,Female,6.37,3.43,2.74,5.41,4.99,215,55,7.4,Low,No,Mild,0
1255,25,Male,9.3,1.41,2.85,4.43,8.48,155,166,12.05,High,No,Severe,1
1256,35,Male,8.94,1.69,1.8,1.45,8.27,133,86,10.23,High,Yes,Moderate,1
1257,30,Female,5.66,4.75,1.86,1.0,7.12,223,47,8.41,Low,Yes,Severe,1
1258,22,Other,3.48,1.49,3.5,4.89,5.58,32,145,6.13,High,Yes,Not addicted,0
1259,35,Male,3.75,3.39,0.37,1.94,6.97,231,60,4.36,Medium,Yes,Not addicted,0
1260,20,Male,7.66,3.94,0.29,4.47,6.96,208,97,9.31,High,No,Moderate,1
1261,19,Other,9.89,4.79,3.1,4.3,8.38,205,22,10.6,Low,Yes,Moderate,1
1262,24,Female,7.33,4.93,1.76,5.42,7.41,34,176,9.7,High,Yes,Moderate,1
1263,28,Female,6.41,1.13,3.66,4.05,7.89,86,55,7.12,Low,No,Moderate,1
1264,34,Female,11.19,0.92,0.7,4.7,6.76,221,25,12.48,Medium,Yes,Severe,1
1265,18,Female,3.4,0.77,2.65,5.37,6.2,182,102,4.12,High,No,Not addicted,0
1266,30,Other,8.07,1.8,0.6,1.98,5.53,102,109,10.22,Medium,No,Moderate,1
1267,30,Male,9.57,3.54,0.16,3.08,6.33,81,120,11.58,High,No,Severe,1
1268,34,Other,4.66,0.85,1.07,0.76,5.05,120,79,7.25,Low,Yes,Mild,0
1269,26,Female,11.66,4.04,2.19,3.11,8.46,83,147,12.64,High,Yes,Moderate,1
1270,26,Female,5.18,4.2,0.57,2.7,7.55,205,58,6.98,High,No,Severe,1
1271,23,Male,3.19,5.34,3.03,1.22,7.75,236,150,4.77,Low,No,Severe,1
1272,32,Male,10.86,5.02,1.17,5.9,6.25,110,110,13.25,Low,Yes,Severe,1
1273,29,Female,6.06,4.26,1.18,5.78,8.6,25,36,7.73,Medium,No,Severe,1
1274,34,Female,8.18,4.98,2.02,5.55,7.97,207,42,9.6,High,Yes,Severe,1
1275,22,Male,7.19,5.07,0.25,4.29,4.67,195,178,7.83,Medium,Yes,Moderate,1
1276,24,Male,11.73,5.03,0.78,3.39,7.14,246,46,13.22,Low,Yes,Moderate,1
1277,21,Female,9.4,3.0,1.87,5.33,5.06,32,170,12.34,Low,Yes,Moderate,1
1278,24,Female,4.21,4.04,4.0,0.72,6.33,28,34,7.1,High,No,Severe,1
1279,21,Male,7.16,3.25,1.63,3.54,8.39,248,17,7.69,Low,Yes,Mild,0
1280,21,Female,6.01,2.78,2.2,5.11,6.86,23,77,8.23,Medium,No,Moderate,1
1281,27,Male,10.41,3.78,3.84,5.49,8.63,245,173,12.61,Medium,No,Severe,1
1282,19,Female,3.69,3.82,3.23,5.29,7.38,167,88,4.46,Medium,Yes,Not addicted,0
1283,34,Male,7.3,5.11,2.35,4.66,6.33,63,55,10.15,High,Yes,Moderate,1
1284,32,Female,5.48,2.36,0.31,1.9,4.66,210,90,6.31,High,No,Not addicted,0
1285,18,Female,10.0,2.36,1.97,2.68,6.46,222,26,11.8,Low,Yes,Moderate,1
1286,18,Female,11.45,5.69,3.5,0.8,8.48,112,114,12.94,High,Yes,Moderate,1
1287,22,Female,9.16,0.9,3.76,1.67,8.79,216,70,10.3,Medium,No,Moderate,1
1288,34,Female,7.95,2.9,0.44,3.95,6.68,215,158,10.06,Low,Yes,Moderate,1
1289,19,Female,4.04,2.17,2.22,4.87,8.93,219,64,5.4,Low,No,Not addicted,0
1290,19,Other,4.91,4.05,2.46,1.18,4.96,114,130,7.14,Low,Yes,Severe,1
1291,20,Other,10.23,2.07,0.73,0.59,8.98,85,164,12.75,Medium,No,Severe,1
1292,27,Other,10.47,4.03,3.04,4.6,7.54,214,131,11.19,High,No,Moderate,1
1293,29,Male,8.21,4.0,2.28,1.31,7.04,95,20,10.64,Medium,Yes,Moderate,1
1294,21,Other,4.66,4.79,3.28,2.12,5.14,130,118,6.57,Low,No,Moderate,1
1295,33,Other,4.4,4.02,1.83,2.8,8.51,184,128,5.33,Low,No,Moderate,1
1296,25,Male,5.93,4.14,3.63,4.08,8.54,153,50,8.07,High,Yes,Severe,1
1297,29,Other,11.64,5.38,0.47,1.28,7.63,176,126,12.99,High,Yes,Severe,1
1298,29,Male,7.9,1.31,2.64,1.01,6.98,166,111,9.26,High,Yes,Mild,0
1299,35,Male,7.34,2.84,2.69,4.27,5.16,68,150,8.62,Medium,Yes,Moderate,1
1300,26,Male,6.59,1.32,2.35,4.75,8.32,89,175,9.34,Low,Yes,Moderate,1
1301,18,Male,3.06,5.19,1.74,2.65,8.48,36,29,3.85,Medium,Yes,Moderate,1
1302,24,Female,10.33,2.34,3.88,5.2,4.72,36,111,12.15,High,No,Moderate,1
1303,20,Male,10.72,2.27,1.81,4.76,8.38,153,65,13.4,Medium,No,Moderate,1
1304,29,Other,4.98,2.04,0.07,3.22,6.49,92,115,5.89,High,No,Not addicted,0
1305,30,Male,9.87,2.76,0.52,1.25,4.59,224,38,12.23,Medium,No,Severe,1
1306,23,Female,8.09,5.63,0.27,4.78,4.6,154,151,9.25,Low,Yes,Moderate,1
1307,25,Other,3.8,1.23,3.73,2.47,8.69,71,103,6.59,Medium,Yes,Mild,0
1308,20,Female,7.18,1.63,3.98,5.49,7.55,40,169,8.09,Medium,Yes,Mild,0
1309,25,Other,10.43,5.89,1.27,3.07,6.96,108,111,11.23,Low,No,Moderate,1
1310,35,Male,5.67,1.96,0.2,5.79,8.39,102,27,6.52,Medium,No,Not addicted,0
1311,31,Other,5.48,5.97,0.95,1.63,5.63,46,116,7.16,Low,Yes,Severe,1
1312,33,Other,9.01,1.44,0.75,0.58,5.23,43,140,11.75,High,Yes,Moderate,1
1313,24,Female,5.35,5.62,1.68,3.65,6.03,232,140,7.81,High,No,Moderate,1
1314,25,Other,10.87,3.47,3.51,5.16,5.3,194,96,12.39,Medium,Yes,Severe,1
1315,18,Male,7.44,4.37,2.18,4.0,6.31,50,131,9.14,Low,No,Severe,1
1316,30,Male,7.66,4.94,3.44,0.59,7.94,116,153,8.52,High,Yes,Moderate,1
1317,29,Female,5.95,1.38,3.97,4.23,7.47,23,100,7.8,Medium,Yes,Mild,0
1318,22,Male,9.59,3.38,3.08,1.46,8.92,55,98,11.51,Medium,Yes,Severe,1
1319,31,Other,8.61,3.48,3.13,5.27,8.79,52,24,11.24,Low,Yes,Severe,1
1320,26,Female,7.57,2.11,0.52,5.35,6.02,208,171,9.35,High,Yes,Mild,0
1321,29,Female,7.07,3.5,1.83,4.96,8.61,197,127,7.8,Low,Yes,Moderate,1
1322,30,Female,7.3,3.47,3.89,1.53,8.7,135,85,8.75,Low,Yes,Moderate,1
1323,35,Female,7.43,3.48,3.43,3.66,6.46,147,54,10.02,Low,No,Mild,0
1324,19,Male,10.11,3.43,2.73,0.5,7.4,194,175,12.59,Medium,Yes,Severe,1
1325,29,Other,9.8,2.65,2.91,2.33,6.55,29,22,11.98,Low,No,Moderate,1
1326,28,Other,10.67,1.98,0.73,3.38,6.57,120,65,11.52,High,No,Moderate,1
1327,25,Female,8.71,1.23,2.13,3.67,5.71,120,71,11.38,Low,Yes,Severe,1
1328,23,Other,5.35,4.26,3.66,1.53,7.93,204,138,6.29,Medium,No,Moderate,1
1329,23,Female,6.63,3.74,3.47,1.72,6.88,220,109,7.39,High,Yes,Moderate,1
1330,29,Female,3.23,4.05,2.08,5.76,8.77,163,98,3.77,Medium,No,Severe,1
1331,25,Male,3.07,2.19,2.49,5.33,8.52,231,162,3.76,Low,No,Mild,0
1332,19,Female,4.79,5.08,1.33,1.8,8.07,42,108,5.82,Medium,Yes,Severe,1
1333,32,Female,3.97,5.05,0.81,1.69,5.28,178,69,6.51,Medium,Yes,Moderate,1
1334,32,Female,10.66,0.75,3.84,1.96,8.31,198,179,13.17,Medium,Yes,Moderate,1
1335,23,Male,7.11,3.89,3.79,1.17,7.16,141,158,7.76,High,Yes,Moderate,1
1336,26,Male,6.25,1.79,2.06,3.57,7.95,122,56,8.98,Medium,No,Moderate,1
1337,28,Other,10.78,3.71,1.66,4.65,6.93,91,91,13.44,Low,No,Severe,1
1338,28,Other,11.85,5.41,1.12,3.98,7.8,128,108,14.34,Medium,No,Moderate,1
1339,22,Male,5.74,3.88,0.47,0.96,7.62,105,21,6.58,Low,Yes,Not addicted,0
1340,27,Male,6.35,1.76,2.59,1.78,8.81,53,179,9.04,Low,No,Moderate,1
1341,24,Other,3.05,2.37,0.14,1.62,7.35,162,61,5.25,Medium,No,Mild,0
1342,34,Other,8.55,2.62,2.48,4.44,5.15,237,71,10.11,High,No,Severe,1
1343,31,Other,4.35,0.54,1.47,3.33,7.82,62,109,5.57,Low,Yes,Not addicted,0
1344,35,Other,10.27,1.08,0.53,5.1,5.07,175,51,12.97,High,Yes,Severe,1
1345,20,Male,3.53,4.56,3.54,3.36,6.37,145,55,4.54,High,No,Severe,1
1346,35,Female,4.49,3.09,2.07,0.98,6.55,221,61,7.24,Medium,No,Mild,0
1347,29,Other,8.06,1.96,0.54,1.35,7.07,28,98,8.92,Low,No,Severe,1
1348,35,Male,5.17,1.06,0.21,5.28,7.73,50,180,6.84,Low,No,Not addicted,0
1349,32,Other,10.08,4.51,3.7,4.1,8.85,234,22,11.39,Low,Yes,Moderate,1
1350,31,Male,10.93,5.75,2.93,4.9,7.46,169,34,13.03,Low,Yes,Moderate,1
1351,28,Male,8.88,4.36,0.98,3.68,8.53,72,96,10.77,Medium,No,Severe,1
1352,33,Female,9.52,3.05,2.97,3.21,5.23,120,89,10.64,Low,No,Severe,1
1353,33,Male,8.5,4.49,0.72,2.96,8.21,240,164,10.1,Low,Yes,Severe,1
1354,23,Other,3.5,1.86,3.6,3.08,6.87,147,43,4.54,High,No,Not addicted,0
1355,35,Male,11.51,3.35,0.52,0.65,7.54,45,49,13.99,Medium,Yes,Moderate,1
1356,19,Other,10.95,1.96,2.22,3.84,8.73,246,134,12.75,High,No,Severe,1
1357,24,Male,9.24,4.47,3.51,4.17,6.11,80,178,11.08,Low,Yes,Moderate,1
1358,26,Male,11.8,1.8,1.55,0.95,7.08,223,161,13.1,Medium,Yes,Severe,1
1359,24,Male,10.85,3.64,3.71,1.01,8.01,184,162,11.77,High,No,Moderate,1
1360,27,Male,4.79,2.02,3.47,3.31,4.76,230,65,7.57,High,No,Mild,0
1361,24,Male,9.18,3.25,2.43,1.13,6.29,182,53,11.51,Low,Yes,Moderate,1
1362,32,Male,6.69,4.64,0.56,1.13,7.97,192,37,7.48,Medium,No,Moderate,1
1363,23,Male,3.38,3.9,0.13,1.25,6.04,210,150,5.78,Low,Yes,Not addicted,0
1364,27,Male,8.15,2.87,1.35,3.45,7.47,136,92,10.59,Low,Yes,Severe,1
1365,21,Other,3.81,0.62,2.23,2.67,6.86,106,17,5.75,Medium,Yes,Not addicted,0
1366,27,Other,6.38,0.59,3.29,1.57,8.31,109,112,8.98,Low,Yes,Mild,0
1367,29,Other,4.15,4.32,1.99,0.59,4.94,136,45,5.0,Low,No,Severe,1
1368,28,Female,7.86,2.63,3.05,1.22,8.31,86,34,10.58,Low,Yes,Mild,0
1369,19,Female,6.8,2.49,0.65,1.77,6.73,35,57,8.8,Low,No,Mild,0
1370,31,Male,10.76,0.62,0.91,1.2,5.77,186,42,12.12,Medium,Yes,Moderate,1
1371,27,Female,3.29,0.82,0.07,2.5,8.57,147,159,6.08,High,No,Mild,0
1372,27,Male,8.61,2.54,2.36,4.78,6.07,92,123,11.22,Low,No,Severe,1
1373,22,Male,10.53,1.88,1.74,1.11,7.0,216,45,13.02,High,Yes,Moderate,1
1374,18,Other,10.25,4.55,1.65,1.76,6.52,90,38,11.97,Medium,Yes,Moderate,1
1375,21,Male,10.31,4.19,1.79,1.31,4.64,204,42,13.25,High,Yes,Severe,1
1376,24,Female,7.58,2.75,0.41,0.8,7.71,105,35,10.5,Medium,No,Moderate,1
1377,27,Female,4.8,2.7,0.46,1.58,4.58,131,61,6.17,High,No,Mild,0
1378,31,Female,8.37,3.23,0.82,3.59,6.0,191,66,10.39,Low,No,Severe,1
1379,30,Female,6.93,1.32,1.41,0.85,5.58,55,136,7.48,Low,No,Moderate,1
1380,31,Female,3.9,5.81,2.51,0.64,4.81,49,27,5.52,Medium,No,Moderate,1
1381,19,Female,3.18,4.1,2.34,3.49,8.74,37,159,5.57,High,No,Moderate,1
1382,25,Female,9.01,4.39,1.27,1.45,5.65,175,143,9.6,High,No,Severe,1
1383,34,Female,11.91,4.01,2.59,1.59,7.16,195,45,14.44,Medium,No,Moderate,1
1384,30,Male,11.6,1.32,1.94,5.74,6.68,166,83,12.72,Low,No,Severe,1
1385,24,Male,9.63,5.82,2.68,3.77,7.12,49,171,11.25,Low,Yes,Severe,1
1386,31,Male,10.63,5.76,0.56,1.68,4.73,137,153,13.24,Low,Yes,Severe,1
1387,23,Other,8.95,4.13,2.52,4.13,5.67,237,154,11.81,Low,Yes,Severe,1
1388,34,Male,8.36,5.37,3.12,2.97,5.16,48,36,11.3,Low,No,Moderate,1
1389,35,Other,11.35,5.42,1.22,1.26,7.91,135,106,13.15,High,Yes,Severe,1
1390,29,Male,6.94,0.56,0.69,4.97,5.67,31,122,8.63,Medium,Yes,Mild,0
1391,30,Other,8.07,2.15,1.61,4.71,7.51,60,145,10.8,High,No,Moderate,1
1392,31,Other,8.04,3.28,1.85,4.64,7.1,191,137,10.2,Low,No,Moderate,1
1393,29,Female,5.06,1.15,3.62,0.99,7.11,48,105,6.63,Medium,Yes,Not addicted,0
1394,27,Female,9.07,4.95,2.21,1.73,7.75,110,42,11.52,Medium,No,Moderate,1
1395,19,Female,10.96,5.59,2.81,2.06,7.24,118,154,12.08,Medium,No,Moderate,1
1396,32,Female,7.61,1.33,1.78,1.34,6.02,118,51,8.51,Medium,Yes,Moderate,1
1397,35,Female,7.92,0.5,3.87,5.78,8.0,88,151,9.42,High,Yes,Mild,0
1398,22,Female,11.87,2.67,0.61,5.93,6.87,174,162,12.54,Low,Yes,Moderate,1
1399,20,Male,4.93,5.06,2.35,4.66,7.76,111,168,7.03,Low,Yes,Severe,1
1400,25,Female,4.92,4.46,3.58,2.38,8.91,31,80,6.22,High,Yes,Severe,1
1401,18,Male,11.19,2.48,3.82,4.63,6.73,87,46,13.23,Medium,No,Moderate,1
1402,27,Other,5.46,4.83,1.67,5.15,6.62,209,138,8.2,High,Yes,Moderate,1
1403,26,Female,8.35,3.65,2.19,0.73,6.93,206,15,11.02,Medium,Yes,Moderate,1
1404,20,Other,6.99,2.78,3.39,1.08,5.52,103,174,7.95,Medium,No,Moderate,1
1405,31,Other,8.55,3.46,3.22,1.87,8.89,121,173,10.42,Medium,No,Severe,1
1406,20,Other,5.95,3.74,3.92,4.92,4.72,51,172,6.79,High,Yes,Not addicted,0
1407,33,Other,11.95,1.86,3.71,5.39,4.7,49,33,13.64,Medium,Yes,Moderate,1
1408,35,Female,9.77,3.55,1.58,2.82,5.62,201,180,10.58,High,No,Severe,1
1409,19,Male,6.41,0.54,0.1,4.11,7.08,226,49,7.66,High,No,Mild,0
1410,27,Male,11.28,5.99,2.73,2.01,8.56,240,157,13.31,Medium,No,Severe,1
1411,28,Other,10.1,1.94,0.06,4.85,5.9,128,108,11.83,Medium,No,Moderate,1
1412,32,Female,10.04,2.2,1.28,1.71,8.02,226,170,10.61,Low,Yes,Severe,1
1413,30,Male,10.88,4.81,3.42,1.51,6.38,199,89,11.52,Medium,No,Severe,1
1414,19,Other,3.08,5.63,1.7,5.21,5.03,58,90,4.03,Medium,No,Severe,1
1415,33,Other,5.8,1.24,1.26,0.87,4.62,40,60,7.0,Low,Yes,Mild,0
1416,26,Other,7.8,3.34,1.55,0.83,7.92,157,18,8.57,High,No,Moderate,1
1417,33,Male,11.92,1.2,3.5,1.45,7.18,111,128,14.75,Low,No,Severe,1
1418,31,Other,10.13,5.19,2.55,2.84,5.16,48,57,10.76,High,No,Moderate,1
1419,33,Female,6.08,2.87,2.79,4.51,8.4,156,27,7.73,Medium,Yes,Moderate,1
1420,34,Other,4.57,1.2,2.69,4.32,5.55,103,79,5.98,Medium,Yes,Not addicted,0
1421,31,Male,5.29,4.09,1.14,3.07,7.83,242,65,7.9,Low,Yes,Moderate,1
1422,22,Female,11.41,5.92,1.14,3.45,7.94,207,140,13.62,High,Yes,Severe,1
1423,30,Male,9.88,1.84,1.17,4.03,7.84,145,58,10.46,High,No,Moderate,1
1424,33,Other,6.18,0.57,2.17,4.91,4.8,220,114,9.09,Low,No,Moderate,1
1425,24,Female,3.3,3.85,3.17,1.76,7.74,148,52,4.47,Low,No,Not addicted,0
